Messwert;CAS-Nr;Grenzwert;Kontextinfo
Temperatur Wasser [°C];;25;**> Präferenztemperatur** <br><br> Jeder Organismus besitzt ein Temperaturoptimum, innerhalb dessen Wachstum, Fortpflanzung und Stoffwechsel optimal ablaufen. Überschreitet oder unterschreitet die Temperatur diesen Bereich, geraten Organismen unter physiologischen Stress: Stoffwechselprozesse werden gestört, die Reproduktionsleistung sinkt und im Extremfall kann es zum Tod kommen.<br><br><br>**> Sauerstofflöslichkeit**<br><br>Mit steigender Temperatur nimmt die Sauerstofflöslichkeit ab, sodass weniger Sauerstoff für Tiere und Pflanzen verfügbar ist. Dies kann insbesondere in Sommermonaten zu Sauerstoffmangel (Hypoxie) führen und empfindliche Arten gefährden, während wärmetolerante Arten möglicherweise dominanter werden.<br><br><br>**> Löslichkeit und Mobilität von Schadstoffen**<br><br>Darüber hinaus verändert die Temperatur die Löslichkeit und Mobilität verschiedener chemischer Stoffe, darunter auch potenziell schädliche Substanzen:<br><br>Schwermetalle wie Quecksilber, Blei oder Cadmium werden bei höheren Temperaturen leichter mobilisiert. Dadurch steigt die Bioverfügbarkeit, was langfristig zu Bioakkumulation (Anreicherung von Schadstoffen) und toxischen Effekten bei aquatischen Organismen führen kann.<br><br>Nährstoffverbindungen, insbesondere Nitrat, Ammonium und Phosphat, lösen sich besser bei höheren Temperaturen. Dies kann verstärkt zu Eutrophierung und Algenblüten führen, die ihrerseits den Sauerstoffgehalt im Wasser stark schwanken lassen.<br><br>Organische Schadstoffe wie Pestizide, Polychlorierte Biphenyle (PCB) oder Phenole können bei höheren Temperaturen vermehrt freigesetzt werden, was die Belastung der aquatischen Lebensgemeinschaften erhöht.
Temperatur Luft [°C];;30;Die Lufttemperatur hat einen indirekten, aber entscheidenden Einfluss auf Gewässer und ihre Bewohner. Über die Wärmeübertragung an die Wasseroberfläche bestimmt sie maßgeblich die Wassertemperatur, die wiederum direkte Effekte auf Stoffwechsel, Fortpflanzung und Überleben aquatischer Organismen hat. <br><br><br> **> Sauerstoffgehalt** <br><br> Hohe Lufttemperaturen können die Wassertemperatur erhöhen, wodurch die Sauerstofflöslichkeit abnimmt. Besonders in flachen Gewässern oder bei sommerlicher Hitze kann dies zu Hypoxie führen. <br><br><br> **> Chemische Stoffe** <br><br> Höhere Temperaturen fördern die Mobilisierung von Nährstoffen und Schadstoffen aus dem Sediment oder aus Zuflüssen. Dies kann Eutrophierung und erhöhte Schadstoffbelastung begünstigen. <br><br><br> **> Lebenszyklen von Organismen** <br><br> Viele aquatische Arten reagieren empfindlich auf saisonale Lufttemperaturen. Beispielsweise beeinflussen steigende Temperaturen das Schlüpfen von Insektenlarven, die Entwicklung von Algen und das Wachstum von Wasserpflanzen.
Sichttiefe [m];;0,5;Die Sichttiefe eines Gewässers, also die Tiefe, bis zu der noch Licht in ausreichender Intensität dringt, ist ein wichtiger ökologischer Parameter, der die Lebensbedingungen für Pflanzen und Tiere stark beeinflusst. <br><br><br> **> Photosynthese und Primärproduktion** <br><br> Mit zunehmender Sichttiefe kann Licht tiefer in das Wasser eindringen, wodurch Makrophyten (große Wasserpflanzen) und Algen auch in tieferen Bereichen wachsen können. Geringe Sichttiefe durch Schwebstoffe oder Algenblüten reduziert die Lichtverfügbarkeit und verringert die Primärproduktion. <br><br><br> **> Räumliche Verteilung von Organismen** <br><br> Viele Fische und Wirbellose orientieren sich visuell. Geringe Sichtweite kann die Räumliche Nutzung des Lebensraums verändern und das Verhalten beim Fressen oder bei der Fortpflanzung beeinflussen. <br><br><br> **> Wasserqualität** <br><br> Die Sichttiefe ist ein Indikator für die Trübung des Wassers. Ursachen können Sedimente, Schwebstoffe, Mikroalgen oder organische Stoffe sein. Hohe Trübung kann die Photosynthese hemmen, Sauerstoffgehalt senken und die Nahrungsnetze verändern. <br><br><br> **> Chemische Prozesse** Licht beeinflusst chemische Reaktionen im Wasser, etwa die Photodegradation organischer Schadstoffe. Geringe Sichttiefe reduziert diese Lichtreaktionen und kann die Persistenz von Schadstoffen erhöhen.
Leitfähigkeit [µS/cm];;500;Die Leitfähigkeit eines Gewässers gibt an, wie gut das Wasser elektrische Ströme leitet, und ist ein Maß für den Gehalt gelöster Ionen (z. B. Calcium, Magnesium, Natrium, Chlorid, Sulfat). Sie liefert wichtige Informationen über die chemische Zusammensetzung und Nährstoffverfügbarkeit im Wasser. <br><br><br> **> Indikator für Wasserqualität** <br><br> Hohe Leitfähigkeitswerte können auf erhöhte Konzentrationen von Salzen, Mineralstoffen oder anthropogenen Schadstoffen hinweisen. Niedrige Leitfähigkeit ist typisch für saure, weiche oder wenig mineralisierte Gewässer. <br><br><br> **> Einfluss auf Organismen** <br><br> Viele Wasserorganismen besitzen ein spezifisches Ionenspektrum, das für Osmoregulation und Stoffwechsel optimal ist. Abweichungen können zu physiologischem Stress, Wachstumshemmung oder Mortalität führen. <br><br><br> **> Ökologische Effekte** <br><br> Veränderungen der Leitfähigkeit wirken sich auf die Artenzusammensetzung aus: salztolerante Arten können dominanter werden, während empfindliche Arten zurückgehen. Außerdem beeinflusst sie die Löslichkeit von Nährstoffen und Schadstoffen, wodurch sekundäre Effekte auf Algenwachstum oder Toxizität auftreten können. 
Sauerstoff O2 [mg/l];7782-44-7;6;Dissolved Oxygen (DO), also gelöster Sauerstoff, ist ein entscheidender Faktor für das Überleben aller aeroben Organismen im Wasser. Sauerstoffgehalt wird von physikalischen, chemischen und biologischen Prozessen bestimmt. <br><br><br> **> Biologische Bedeutung** <br><br> Fische, Invertebraten und viele Mikroorganismen benötigen Sauerstoff für Stoffwechsel und Energieproduktion. Werte unterhalb des Temperaturoptimums führen zu Stress, eingeschränkter Fortpflanzung oder Mortalität. <br><br><br> **> Einfluss auf chemische Prozesse** <br><br> Sauerstoff reguliert die Redoxbedingungen des Gewässers. Bei Sauerstoffmangel können giftige Substanzen wie Ammonium, Eisen(II), Mangan(II) oder Schwefelwasserstoff mobilisiert werden, was die Wasserqualität verschlechtert. <br><br><br> **> Ökologische Folgen** <br><br> Niedrige Sauerstoffkonzentrationen (Hypoxie) verändern die Artenzusammensetzung, da empfindliche Arten abwandern oder sterben, während tolerante Organismen dominieren. Dies kann langfristig die Biodiversität und Stabilität des Ökosystems reduzieren.
Sauerstoffsättigung O2 [%];7782-44-7;80;Die Sauerstoffsättigung beschreibt den Prozentsatz des im Wasser gelösten Sauerstoffs im Verhältnis zur maximal möglichen Menge bei gegebener Temperatur und Druck. Sie gibt Auskunft darüber, wie „ausgelastet“ ein Gewässer in Bezug auf Sauerstoff ist. <br><br><br> **> Temperaturabhängigkeit** <br><br> Mit steigender Wassertemperatur sinkt die maximale Sauerstoffaufnahme, sodass die Sättigung bei gleichen Konzentrationen abnimmt. <br><br><br> **> Biologische Relevanz** <br><br> Organismen reagieren empfindlich auf Abweichungen von der optimalen Sauerstoffsättigung. Unter- oder Übersättigung kann zu Stressreaktionen, verringertem Wachstum und beeinträchtigter Reproduktion führen. <br><br><br> **> Indikator für ökologische Prozesse** <br><br> Sauerstoffsättigung zeigt indirekt die Produktivität und Zersetzung im Gewässer an. Hohe Sättigung kann auf intensive Photosynthese hinweisen, während niedrige Werte auf hohen biologischen Abbau oder starke Nährstoffbelastung schließen lassen. <br><br><br> **> Ökologische Konsequenzen** <br><br> Extreme Abweichungen von der optimalen Sättigung fördern Hypoxie oder Hyperoxie, die die Struktur der Lebensgemeinschaften verändern und toxische Prozesse verstärken können.
pH Wert;;8,5;Der pH-Wert beschreibt die Säure-Base-Balance eines Gewässers und ist ein zentraler Parameter für chemische und biologische Prozesse. Die meisten aquatischen Organismen besitzen ein eng begrenztes pH-Optimum (meist zwischen 6,5 und 8,5), in dem Stoffwechsel und Fortpflanzung optimal funktionieren. <br><br><br> **> Biologische Effekte** <br><br> Abweichungen vom optimalen pH-Bereich können enzymatische Prozesse stören, die Fortpflanzung hemmen und im Extremfall zum Tod führen. Empfindliche Arten wie Forellen oder bestimmte Makroinvertebraten reagieren besonders sensibel auf saure oder stark basische Bedingungen. <br><br><br> **> Chemische Prozesse** <br><br> Der pH-Wert beeinflusst die Löslichkeit und Speziesbildung von Mineralstoffen und Schadstoffen. Niedriger pH erhöht z. B. die Mobilität von Schwermetallen wie Aluminium, Cadmium oder Blei, was toxische Effekte auf Pflanzen und Tiere hat. Hoher pH kann hingegen die Bildung von toxischem Ammoniak (NH₃) begünstigen. <br><br><br> **> Ökologische Konsequenzen** <br><br> Extreme pH-Werte führen zu einer Veränderung der Artenzusammensetzung, da nur pH-tolerante Organismen überleben. Dies kann langfristig die Biodiversität und Stabilität des Gewässers beeinträchtigen.
Ammoniak NH3 [mg/l];7664-41-7;0,5;Ammoniak (NH₃) ist eine toxische Form des Stickstoffs, die direkt aus organischen Abbauprozessen oder anthropogenen Einträgen (z. B. Abwasser, Düngemittel) stammt. Die Toxizität hängt stark von pH-Wert und Temperatur ab: <br><br><br> **> Chemische Umwandlung** <br><br> In Wasser existiert Ammoniak im Gleichgewicht mit Ammonium (NH₄⁺). Bei höherem pH und höheren Temperaturen verschiebt sich das Gleichgewicht zugunsten von NH₃, der giftigen Form. <br><br><br> **> Biologische Effekte** <br><br> Ammoniak wirkt zytotoxisch auf Kiemen und Haut von Fischen, stört den Stoffwechsel und kann zu Reduktion des Wachstums, Fortpflanzungsproblemen oder Mortalität führen. <br><br><br> **> Ökologische Konsequenzen** <br><br> Erhöhte Ammoniakkonzentrationen verändern die Artenzusammensetzung, da empfindliche Arten abwandern oder absterben, während tolerantere Mikroorganismen dominieren.
Ammoniak NH3 [%];7664-41-7;;Ammoniak (NH₃) ist eine toxische Form des Stickstoffs, die direkt aus organischen Abbauprozessen oder anthropogenen Einträgen (z. B. Abwasser, Düngemittel) stammt. Die Toxizität hängt stark von pH-Wert und Temperatur ab: <br><br><br> **> Chemische Umwandlung** <br><br> In Wasser existiert Ammoniak im Gleichgewicht mit Ammonium (NH₄⁺). Bei höherem pH und höheren Temperaturen verschiebt sich das Gleichgewicht zugunsten von NH₃, der giftigen Form. <br><br><br> **> Biologische Effekte** <br><br> Ammoniak wirkt zytotoxisch auf Kiemen und Haut von Fischen, stört den Stoffwechsel und kann zu Reduktion des Wachstums, Fortpflanzungsproblemen oder Mortalität führen. <br><br><br> **> Ökologische Konsequenzen** <br><br> Erhöhte Ammoniakkonzentrationen verändern die Artenzusammensetzung, da empfindliche Arten abwandern oder absterben, während tolerantere Mikroorganismen dominieren.
Ammonium NH4 [mg/l];14798-03-9;0,5;Ammonium (NH₄⁺) ist die protonierte, nicht toxische Form des Stickstoffs, die im Gleichgewicht mit Ammoniak in Wasser vorkommt. <br><br><br> **> Nährstoffverfügbarkeit** <br><br> Ammonium dient als wichtiger Stickstofflieferant für Algen und Wasserpflanzen und beeinflusst die Primärproduktion. <br><br><br> **> Umwandlung** <br><br> Durch Nitrifikation wird NH₄⁺ mikrobiell zu Nitrit (NO₂⁻) und Nitrat (NO₃⁻) umgesetzt, was den Nährstoffkreislauf im Gewässer steuert. <br><br><br> **> Wechselwirkung mit pH** <br><br> Bei niedrigem pH überwiegt die Ammoniumform, die wenig toxisch ist. Steigt der pH, wandelt sich ein Teil in toxisches Ammoniak um, wodurch indirekt toxische Effekte entstehen können. <br><br><br> **> Ökologische Konsequenzen** <br><br> Hohe Ammonium-Konzentrationen fördern Algenwachstum, können aber bei gleichzeitig hohem pH und warmer Temperatur die toxische NH₃-Konzentration erhöhen, was Tiere belastet und die Artenzusammensetzung verändert.
