Nummer;Breitengrad;Längengrad;Name;Quelle;Gewässer
1;53.826707;10.757277;100m flussabwärts Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz
2;53.854232;10.703373;50 m flussabwärts der Wallbrechtbrücke;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz
3;53.847720;10.729189;50 m mittig flussabwärts der Insel Spieringhorst;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz
4;53.806811;10.766473;500m flussaufwärts der Mündung der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz
5;53.827951;10.755667;600 m flussabwärts Absalonhorst Rechts;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz
6;53.823723;10.760781;Absalonshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz
7;53.863298;10.704125;Dücker;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz
8;53.873018;10.698132;Falkendamm;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz
9;53.786768;10.769421;Schattiner Bach;Lübecker Kreisverband der Sportfischer e.V.;Schattiner Bach
10;53.825871;10.758409;Im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben
12;53.809994;10.759023;In der Grönau;Lübecker Kreisverband der Sportfischer e.V.;Grönau
13;53.841182;10.729778;Kleiner See;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz)
14;53.842179;10.732621;Kleiner See Mittig;Lübecker Kreisverband der Sportfischer e.V.;Kleiner See (Wakenitz)
15;53.825871;10.758409;im Lüdersdorfer Graben;Lübecker Kreisverband der Sportfischer e.V.;Lüdersdorfer Graben
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz
17;53.846527;10.724491;Spieringshorst Anleger;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz
18;53.866260;10.680470;Holstentorbrücke;TEST-Station;Trave
19;53.908853;10.714241;Kleine Schwartau Brücke;TEST-Station2;Schwartau
20;53.838045;10.644089;Kanal-Trave;TH-Labor Külls;Trave
21;53.851907;10.673385;Trave-Kanal (Geniner Ufer);TH-Labor Külls;Trave
22;53.850132;10.629057;Trave B75;TH-Labor Külls;Trave
23;53.828089;10.697581;Landgraben (Gut Mönkhof);TH-Labor Külls;Trave
24;53.807678;10.755451;Grönau (Mühlenweg);TH-Labor Külls;Trave
25;53.781068;10.766304;Wakenitz (Rothenhusen);TH-Labor Külls;Trave
26;53.796679;10.772178;Wakenitz (Kammerbruch);;TH-Labor Külls;Trave
27;53.836353;10.697876;Trinkwasser (Labor TH);TH-Labor Külls;Trave

