Nummer;Längengrad;Breitengrad;Name;Quelle;Gewässer;Tag;Uhrzeit;Temperatur Wasser  [°C];Temperatur Luft [°C];Sichttiefe [m];Bemerkung;Leitfähigkeit [µS/cm];Sauerstoff O2 [mg/l];Sauerstoffsättigung O2 [%];pH Wert; Ammoniak NH3 [mg/l ];Ammoniak NH3 [%];Ammonium NH4 [mg/l];Ammonium-N [mg/l];Nitrit NO2 [mg/l];Nitrit-N [mg/l];Nitrat NO3 [mg/l];Nitrat-N [mg/l];Phosphat ortho PO4 [mg/l];Strömungsgeschwindigkeit [m/s];Biochemische Sauerstoffbedarf [mg/l];Biochemische Sauerstoffbedarf Rest Sauerstoff [%];Säure- Bindungsvermögen [mmol/l];Gesamthärte [mmol/l];Gesamthärte [°dH]
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben;26.03.24;14:15:00;9,3;;1,6;;496;10,8;89,7;7,9;0,001;0,000;0,060;0,047;0,000;0,000;4,57;1,03;0,18;;;;;;
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben;30.04.24;14:17:00;16,3;19;1,6;;540;10,9;107;8,1;0,001;0,000;0,041;0,032;0,060;0,018;3,69;0,83;0,18;;;;;;
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben;04.06.24;14:05:00;18,6;17,5;1,6;Grund;410;6,82;72,7;7,9;0,004;0,000;0,169;0,131;0,063;0,019;1,74;0,39;;;;;;;
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben;24.06.24;08:45:00;14,9;18;0,9;Grund;622;;;7,5;0,001;0,000;0,089;0,069;0,095;0,029;5,32;1,20;0,36;;;;;;
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben;23.07.24;08:25:00;16,7;;0,4;Grund;433;;;7,6;0,001;0,000;0,092;0,071;0,087;0,026;4,68;1,06;0,37;;;;;;
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben;15.08.24;08:50:00;18;18,5;0,5;Grund;632;4,6;48,5;7,6;0,001;0,000;0,048;0,037;0,117;0,036;4,46;1,01;0,34;;;;;;
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben;10.09.24;08:30;16,2;16;0,5;Grund;381;4,24;43,6;7,3;0,000;0,000;0,060;0,047;0,093;0,028;3,62;0,82;0,38;;;;;;
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben;19.10.24;08:15:00;10,8;14;0,5;Grund;617;3,79;33;7,5;0,000;0,000;0,060;0,047;0,080;0,024;5,97;1,35;0,25;;;;;;
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben;30.11.24;08:45:00;3,8;3;0,6;Grund;452;4,48;32,7;7,4;0,000;0,000;0,108;0,084;0,109;0,033;9,51;2,15;0,33;;;;;;
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben;21.03.25;08:15:00;4,9;5;0,4;;638;6,61;49,7;7,6;0,001;0,000;0,134;0,104;0,000;;7,34;1,66;0,31;;;;;;
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben;24.04.25;09:10:00;11,3;10;0,6;;632;7,63;69,4;7,7;0,001;0,000;0,135;0,105;0,069;0,021;5,53;1,25;0,31;;;;;;
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben;24.06.25;09:00:00;15,3;15;0,6;;506;7,2;82,2;7,6;0,001;0,000;0,136;0,106;0,111;0,034;4,55;1,03;0,57;;;;;;
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben;29.07.25;08:30:00;16,4;18;0,6;;584;4,17;42,4;7,7;0,000;0,000;0,100;0,078;0,110;0,033;4,52;1,02;0,51;;;;;;
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben;18.08.25;14:30:00;15,8;20;0,5;;634;5,89;58,6;8,5;0,006;0,000;0,074;0,057;0,050;0,015;5,90;1,33;0,58;;;;;;
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben;12.09.25;07:55:00;;;0,5;;500;4,79;46,1;7,5;0,000;0,000;;0,000;0,000;0,000;3,62;0,82;0,24;;;;;;
11;53.836309;10.718197;Im Nienmarker Landgraben;Lübecker Kreisverband der Sportfischer e.V.;Nienmarker Landgraben;19.07.09;13:20;16,1;24;0,6;;530;4,8;;6,88;0,0004;0,000001;0,200;;0,075;;10;;;0;3,4;70,83;;2,00;14,60
