Nummer;Längengrad;Breitengrad;Name;Quelle;Gewässer;Tag;Uhrzeit;Temperatur Wasser [°C];Temperatur Luft [°C];Sichttiefe [m];Bemerkung;Leitfähigkeit [µS/cm];Sauerstoff O2 [mg/l];Sauerstoffsättigung O2 [%];pH Wert; Ammoniak NH3 [mg/l];Ammoniak NH3 [%];Ammonium NH4 [mg/l];Ammonium-N [mg/l];Nitrit NO2 [mg/l];Nitrit-N [mg/l];Nitrat NO3 [mg/l];Nitrat-N [mg/l];Phosphat ortho PO4 [mg/l];Strömungsgeschwindigkeit [m/s];Biochemische Sauerstoffbedarf [mg/l];Biochemische Sauerstoffbedarf Rest Sauerstoff [%];Säure- Bindungsvermögen [mmol/l];Gesamthärte [mmol/l];Gesamthärte [°dH]
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;26.03.24;12:15:00;8,1;;1,2;;411;12,4;104,0;8,5;0,002;0,000;0,046;0,036;0,000;0,000;1,97;0,44;0,00;;;;;;
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;30.04.24;12:15:00;13,5;19;1;Grund;361;12,6;120,6;8,6;0,005;0,000;0,057;0,044;0,000;0,000;1,09;0,25;0,00;;;;;;
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;04.06.24;12:00:00;18,7;17,5;1;Grund;348;9,15;100;8,4;0,005;0,000;0,067;0,052;0,000;0,000;0,00;0,00;;;;;;;
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;24.06.24;12:20:00;21,7;19;0,9;Grund;328;;;8,7;0,008;0,000;0,044;0,034;0,002;0,001;1,33;0,30;0,04;;;;;;
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;23.07.24;11:35:00;22,1;;0,9;Grund;331;;;8,6;0,008;0,000;0,054;0,042;0,000;0,000;0,00;0,00;0,00;;;;;;
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;15.08.24;12:25:00;23,2;20;0,9;Grund;313;11,35;131,5;8,6;0,006;0,000;0,039;0,030;0,000;0,000;0,00;0,00;0,00;;;;;;
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;10.09.24;12:20:00;19,9;18;0,9;Grund;341;6,87;75,9;7,9;0,001;0,000;0,046;0,036;;0,000;0,39;0,09;0,00;;;;;;
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;19.10.24;12:00:00;12,6;16;0,9;Grund;353;6,32;58,6;8,2;0,058;0,000;;0,000;0,000;0,000;0,00;0,00;0,00;;;;;;
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;30.11.24;12:10:00;5,8;3;1,2;;365;6,56;51,7;8,0;;0,000;0,059;0,046;0,000;0,000;1,53;0,35;0,20;;;;;;
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;21.03.25;12:05:00;7,6;10;0,5;;348;10,12;84,2;8,4;0,002;0,000;0,045;0,035;0,000;0,000;0,00;0,00;0,00;;;;;;
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;24.04.25;13:54:00;0,9;15;0,9;;346;12,65;115,2;8,5;0,001;0,000;0,027;0,021;0,000;0,000;0,00;0,00;0,00;;;;;;
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;24.06.25;12:15:00;19,5;18;1,1;;318;7,5;82,5;8,0;0,002;0,000;0,046;0,036;;0,000;1,04;0,23;1,43;;;;;;
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;29.07.25;12:20:00;21,8;18;0,9;;306;10,1;113,8;9,4;0,022;0,000;0,044;0,034;0,000;0,000;0,00;0,00;0,08;;;;;;
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;18.08.25;13:00:00;22,1;22;0,8;;315;11,1;126,9;8,7;0,007;0,000;0,038;0,030;0,000;0,000;0,00;0,00;0,10;;;;;;
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;12.09.25;12:50:00;18,3;19;1,1;;327;7,7;78,5;7,9;0,000;0,000;;0,000;0,000;0,000;0,00;0,00;0,13;;;;;;
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;20.06.13;10:20;13;;1,4;;385;4,68;44,2;8,31;;;0,027;;0,012;;0,034;;0,034;0,03;3,37;72,01;3,214285714;;9,00
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;21.07.13;13:30;23,4;26,5;0,8;;349;4,38;50,9;8,19;;;0,041;;0,010;;0,013;;0,036;0,06;;0,00;3,214285714;;9,00
16;53.781006;10.766583;Rothenhusen;Lübecker Kreisverband der Sportfischer e.V.;Wakenitz;20.08.09;10:30;19,8;28;0,9;;;8,6;97;8,03;;;0,000;;< 0,025;;0;;0;0,02;6,8;79,07;3,928571429;1,90;11,00
