Nummer;Längengrad;Breitengrad;Name;Quelle;Gewässer;Tag;Uhrzeit;Temperatur Wasser [°C];Temperatur Luft [°C];Sichttiefe [m];Bemerkung;Leitfähigkeit [µS/cm];Sauerstoff O2 [mg/l];Sauerstoffsättigung O2 [%];pH Wert;Ammoniak NH3 [mg/l];Ammoniak NH3 [%];Ammonium NH4 [mg/l];Ammonium-N [mg/l];Nitrit NO2 [mg/l];Nitrit-N [mg/l];Nitrat NO3 [mg/l];Nitrat-N [mg/l];Phosphat ortho PO4 [mg/l];Strömungsgeschwindigkeit [m/s];Biochemische Sauerstoffbedarf [mg/l];Biochemische Sauerstoffbedarf Rest Sauerstoff [%];Säure- Bindungsvermögen [mmol/l];Gesamthärte [mmol/l];Gesamthärte [°dH]
9;53.786768;10.769421;Schattiner Bach;Lübecker Kreisverband der Sportfischer e.V.;Schattiner Bach;26.03.24;12:45:00;7,8;;0,8;;759;12,2;99,7;8,4;0,002;0,000;0,046;0,036;0,000;0,000;11,20;2,53;0,00;;;;;;
9;53.786768;10.769421;Schattiner Bach;Lübecker Kreisverband der Sportfischer e.V.;Schattiner Bach;30.04.24;12:50:00;13,9;19;0,6;;687;7,1;68;7,9;0,002;0,000;0,130;0,101;0,164;0,050;18,50;4,18;0,25;;;;;;
9;53.786768;10.769421;Schattiner Bach;Lübecker Kreisverband der Sportfischer e.V.;Schattiner Bach;04.06.24;12:35:00;15,1;17,5;0,3;Grund;680;5,15;50,4;8,0;0,003;0,000;0,135;0,105;0,206;0,000;17,20;3,89;;;;;;;
9;53.786768;10.769421;Schattiner Bach;Lübecker Kreisverband der Sportfischer e.V.;Schattiner Bach;24.06.24;12:40:00;17,6;19;0,5;Grund;672;;;8,1;0,003;0,000;0,077;0,060;0,032;0,010;3,55;0,80;0,09;;;;;;
9;53.786768;10.769421;Schattiner Bach;Lübecker Kreisverband der Sportfischer e.V.;Schattiner Bach;23.07.24;12:00:00;18,4;;0,5;Grund;593;;;8,1;0,003;0,000;0,084;0,065;0,126;0,038;8,67;1,96;0,29;;;;;;
9;53.786768;10.769421;Schattiner Bach;Lübecker Kreisverband der Sportfischer e.V.;Schattiner Bach;15.08.24;12:37:00;22,4;20;0,4;Grund;419;8,1;90,2;8,0;0,002;0,000;0,048;0,037;0,088;0,027;7,48;1,69;;;;;;;
9;53.786768;10.769421;Schattiner Bach;Lübecker Kreisverband der Sportfischer e.V.;Schattiner Bach;10.09.24;12:30:00;16,9;18;0,4;Grund;567;3,65;43,9;7,7;0,001;0,000;0,071;0,055;0,114;0,035;10,40;2,35;0,31;;;;;;
9;53.786768;10.769421;Schattiner Bach;Lübecker Kreisverband der Sportfischer e.V.;Schattiner Bach;19.10.24;12:12:00;12,3;16;0,4;Grund;477;3,21;27,9;8,0;0,001;0,000;0,049;0,038;0,094;0,029;14,20;3,21;0,00;;;;;;
9;53.786768;10.769421;Schattiner Bach;Lübecker Kreisverband der Sportfischer e.V.;Schattiner Bach;30.11.24;12:30:00;5,1;3;0,35;;616;5,78;45;7,6;0,000;0,000;0,063;0,049;0,137;0,042;48,20;10,89;0,25;;;;;;
9;53.786768;10.769421;Schattiner Bach;Lübecker Kreisverband der Sportfischer e.V.;Schattiner Bach;21.03.25;12:30:00;6,4;10;0,5;;654;8,9;71,3;7,8;0,000;0,000;0,046;0,036;0,000;0,000;20,40;4,61;0,16;;;;;;
9;53.786768;10.769421;Schattiner Bach;Lübecker Kreisverband der Sportfischer e.V.;Schattiner Bach;24.04.25;14:25:00;13,7;15;0,35;;819;9,1;88,5;7,8;0,002;0,000;0,110;0,085;0,102;0,031;12,20;2,76;0,19;;;;;;
9;53.786768;10.769421;Schattiner Bach;Lübecker Kreisverband der Sportfischer e.V.;Schattiner Bach;24.06.25;12:30:00;17,4;18;0,6;;491;4,08;49,1;;0,000;0,000;0,098;0,076;0,083;0,025;2,38;0,54;0,30;;;;;;
9;53.786768;10.769421;Schattiner Bach;Lübecker Kreisverband der Sportfischer e.V.;Schattiner Bach;29.07.25;14:15:00;19,3;18;0,5;;400;2,6;30,4;7,8;0,002;0,000;0,079;0,061;0,000;0,000;0,00;0,00;0,08;;;;;;
9;53.786768;10.769421;Schattiner Bach;Lübecker Kreisverband der Sportfischer e.V.;Schattiner Bach;18.08.25;13:30:00;21,2;22;0,4;;332;7;74,1;9,9;0,078;0,000;0,107;0,083;0,000;0,000;0,00;0,00;0,20;;;;;;
9;53.786768;10.769421;Schattiner Bach;Lübecker Kreisverband der Sportfischer e.V.;Schattiner Bach;12.09.25;13:10:00;16;19;0,5;;388;2,36;25;7,7;0,000;0,000;;0,000;0,104;0,032;4,90;1,11;0,19;;;;;;

